Source,Target,Type,Sign,Weight
NICD,AKT1,Directed,1,1.0
NICD,TWIST1,Directed,1,1.0
NICD,ZEB2,Directed,1,1.0
NICD,DKK1,Directed,1,1.0
NICD,p21,Directed,1,1.0
NICD,ZEB1,Directed,1,1.0
NICD,SNAI1,Directed,1,1.0
NICD,ERK,Directed,1,1.0
NICD,p63,Directed,-1,1.0
NICD,TGFbeta,Directed,1,1.0
NICD,SNAI2,Directed,1,1.0
NICD,p53,Directed,1,1.0
AKT1,CTNNB1,Directed,-1,1.0
AKT1,miR34,Directed,-1,1.0
AKT1,p21,Directed,-1,1.0
AKT1,ERK,Directed,-1,1.0
AKT1,Apoptosis,Directed,-1,1.0
AKT1,p73,Directed,-1,1.0
AKT1,p63,Directed,-1,1.0
AKT1,p53,Directed,-1,1.0
AKT1,CellCycleArrest,Directed,-1,1.0
AKT1,Migration,Directed,-1,1.0
TGFbeta,AKT1,Directed,1,1.0
TGFbeta,AKT2,Directed,1,1.0
TGFbeta,SMAD,Directed,1,1.0
GF,AKT1,Directed,1,1.0
GF,AKT2,Directed,1,1.0
GF,ERK,Directed,1,1.0
GF,GF,Directed,1,1.0
CDH2,AKT1,Directed,1,1.0
CDH2,CTNNB1,Directed,-1,1.0
CDH2,AKT2,Directed,1,1.0
CDH2,ERK,Directed,1,1.0
CDH2,GF,Directed,1,1.0
CDH2,Invasion,Directed,1,1.0
CDH2,EMT,Directed,1,1.0
CTNNB1,AKT1,Directed,1,1.0
CTNNB1,TWIST1,Directed,1,1.0
CTNNB1,DKK1,Directed,1,1.0
CTNNB1,VIM,Directed,1,1.0
CTNNB1,ZEB1,Directed,1,1.0
CTNNB1,SNAI1,Directed,-1,1.0
CTNNB1,Invasion,Directed,1,1.0
CTNNB1,TGFbeta,Directed,-1,1.0
CTNNB1,SNAI2,Directed,1,1.0
CTNNB1,p53,Directed,1,1.0
miR34,AKT1,Directed,-1,1.0
miR34,CTNNB1,Directed,-1,1.0
miR34,SNAI1,Directed,-1,1.0
miR34,AKT2,Directed,-1,1.0
miR34,Apoptosis,Directed,1,1.0
miR34,NICD,Directed,-1,1.0
miR34,p53,Directed,1,1.0
miR34,CellCycleArrest,Directed,1,1.0
p53,AKT1,Directed,-1,1.0
p53,CTNNB1,Directed,-1,1.0
p53,miR34,Directed,1,1.0
p53,p21,Directed,1,1.0
p53,SNAI1,Directed,-1,1.0
p53,AKT2,Directed,-1,1.0
p53,Apoptosis,Directed,1,1.0
p53,p73,Directed,-1,1.0
p53,miR203,Directed,1,1.0
p53,p63,Directed,-1,1.0
p53,NICD,Directed,-1,1.0
p53,SNAI2,Directed,-1,1.0
p53,miR200,Directed,1,1.0
CDH1,AKT1,Directed,-1,1.0
CDH1,CTNNB1,Directed,-1,1.0
CDH1,GF,Directed,-1,1.0
CDH1,EMT,Directed,-1,1.0
SNAI1,CDH1,Directed,-1,1.0
SNAI1,TWIST1,Directed,1,1.0
SNAI1,ZEB2,Directed,1,1.0
SNAI1,miR34,Directed,-1,1.0
SNAI1,ZEB1,Directed,1,1.0
SNAI1,miR203,Directed,-1,1.0
SNAI1,miR200,Directed,-1,1.0
AKT2,CDH1,Directed,-1,1.0
AKT2,miR34,Directed,1,1.0
AKT2,p21,Directed,1,1.0
AKT2,p73,Directed,-1,1.0
AKT2,p63,Directed,-1,1.0
AKT2,p53,Directed,-1,1.0
AKT2,Migration,Directed,1,1.0
AKT2,miR200,Directed,-1,1.0
SNAI2,CDH1,Directed,-1,1.0
SNAI2,ZEB2,Directed,1,1.0
SNAI2,ZEB1,Directed,1,1.0
SNAI2,p53,Directed,-1,1.0
SNAI2,miR200,Directed,-1,1.0
TWIST1,CDH1,Directed,-1,1.0
TWIST1,ZEB2,Directed,1,1.0
TWIST1,ZEB1,Directed,1,1.0
TWIST1,SNAI1,Directed,1,1.0
TWIST1,AKT2,Directed,1,1.0
TWIST1,SNAI2,Directed,1,1.0
TWIST1,CDH2,Directed,1,1.0
ZEB2,CDH1,Directed,-1,1.0
ZEB2,miR34,Directed,-1,1.0
ZEB2,VIM,Directed,1,1.0
ZEB2,Apoptosis,Directed,-1,1.0
ZEB2,miR203,Directed,-1,1.0
ZEB2,CellCycleArrest,Directed,1,1.0
ZEB2,miR200,Directed,-1,1.0
ZEB1,CDH1,Directed,-1,1.0
ZEB1,miR34,Directed,-1,1.0
ZEB1,p73,Directed,-1,1.0
ZEB1,miR203,Directed,-1,1.0
ZEB1,miR200,Directed,-1,1.0
miR200,ZEB2,Directed,-1,1.0
miR200,CTNNB1,Directed,-1,1.0
miR200,ZEB1,Directed,-1,1.0
miR200,SMAD,Directed,-1,1.0
miR200,Apoptosis,Directed,1,1.0
miR200,NICD,Directed,-1,1.0
miR200,SNAI2,Directed,-1,1.0
miR200,CellCycleArrest,Directed,1,1.0
miR200,Migration,Directed,-1,1.0
miR203,ZEB2,Directed,-1,1.0
miR203,SNAI1,Directed,-1,1.0
miR203,AKT2,Directed,-1,1.0
miR203,SMAD,Directed,-1,1.0
miR203,p63,Directed,-1,1.0
miR203,SNAI2,Directed,-1,1.0
miR203,CellCycleArrest,Directed,1,1.0
p63,CTNNB1,Directed,-1,1.0
p63,miR34,Directed,-1,1.0
p63,p21,Directed,1,1.0
p63,Apoptosis,Directed,1,1.0
p63,NICD,Directed,-1,1.0
p63,Migration,Directed,-1,1.0
p63,miR200,Directed,1,1.0
DKK1,CTNNB1,Directed,-1,1.0
ECM,ECM,Directed,1,1.0
ECM,NICD,Directed,1,1.0
ECM,TGFbeta,Directed,1,1.0
p73,miR34,Directed,1,1.0
p73,p21,Directed,1,1.0
