Variables,HS,EMT2,Apop2,Apop1,EMT1,Apop4,Apop3,M2,M1
EMTreg,0,1,0,0,1,0,0,1,1
Apoptosis,0,0,1,1,0,1,1,0,0
CCA,0,1,1,1,1,1,1,1,1
ECMicroenv,0,0,0,0,0,1,1,1,1
Notch_pthw,0,0,0,0,0,0,0,1,1
AKT2,0,1,0,0,1,0,0,1,1
Invasion,0,0,0,0,0,0,0,1,1
TGFb_pthw,0,0,0,0,0,0,0,1,1
GF,0,1,0,0,1,0,0,1,1
AKT1,0,0,0,0,0,0,0,0,0
p63_73,0,0,1,0,0,1,0,0,0
miRNA,0,0,1,1,0,1,1,0,0
Ecadh,1,0,1,1,0,1,1,0,0
WNT_pthw,0,0,0,0,0,0,0,0,0
ERK_pthw,0,1,0,0,1,0,0,1,1
Metastasis,0,0,0,0,0,0,0,1,1
Migration,0,0,0,0,0,0,0,1,1
EMT,0,1,0,0,1,0,0,1,1
DNAdamage,0,0,1,1,1,1,1,0,1
p53,0,0,0,1,0,0,1,0,0
